iter	Logloss
0	0.4957592803
1	0.3975756522
2	0.3520657659
3	0.3276283474
4	0.3138623301
5	0.3044773907
6	0.2988553077
7	0.2960508772
8	0.29334109
9	0.2907239215
10	0.2896243596
11	0.2878612712
12	0.2864073099
13	0.2856209817
14	0.2851362512
15	0.2847630917
16	0.2843189882
17	0.283842026
18	0.2837170782
19	0.2834129103
20	0.2821598502
21	0.2821227935
22	0.282089988
23	0.281469743
24	0.2814616286
25	0.2812042489
26	0.2810049444
27	0.28082346
28	0.2803599929
29	0.2803591203
30	0.2803581948
31	0.2801871869
32	0.2801747778
33	0.2798288884
34	0.2798212419
35	0.2798196157
36	0.2797473496
37	0.2797425438
38	0.2797422927
39	0.2797292958
40	0.2797284853
41	0.2791552998
42	0.2791507681
43	0.2791418517
44	0.2791392652
45	0.2791354522
46	0.2791100284
47	0.2789292748
48	0.278925214
49	0.278917364
50	0.2788858534
51	0.2788491898
52	0.2788473358
53	0.2788473339
54	0.2788445833
55	0.2788426133
56	0.2788396559
57	0.2788385828
58	0.278808981
59	0.2788013627
60	0.278800049
61	0.2785946684
62	0.2784688304
63	0.2784678572
64	0.2784543454
65	0.2784385181
66	0.2784365544
67	0.278434872
68	0.2784348717
69	0.2784328691
70	0.2784319716
71	0.2784319702
72	0.2784229495
73	0.2784224264
74	0.2784218249
75	0.2784200631
76	0.278420062
77	0.278418755
78	0.2784187539
79	0.278379944
80	0.2783789319
81	0.2783778301
82	0.2783565675
83	0.2782547267
84	0.2782544237
85	0.2782542733
86	0.2782542733
87	0.2782542732
88	0.278234059
89	0.2782289819
90	0.2780936384
91	0.2780931136
92	0.2780885615
93	0.2780885612
94	0.2780885597
95	0.2780811513
96	0.2780791159
97	0.2780717506
98	0.2780672809
99	0.2780672477
100	0.2780659787
101	0.2777766793
102	0.2777688681
103	0.2777678719
104	0.2777678712
105	0.2777678708
106	0.2777678697
107	0.2777597407
108	0.277758724
109	0.277755772
110	0.2776024424
111	0.277597096
112	0.2775936289
113	0.277586274
114	0.2773568297
115	0.277349677
116	0.277345579
117	0.2773447198
118	0.2773246579
119	0.2773183388
120	0.2773156942
121	0.2773135295
122	0.2773090728
123	0.2772578902
124	0.2772569131
125	0.2772505228
126	0.2772368019
127	0.2772281893
128	0.2772132062
129	0.2772061487
130	0.2772060086
131	0.2772060084
132	0.2771637876
133	0.2771637876
134	0.2771637822
135	0.2770701849
136	0.2768701589
137	0.2768565482
138	0.2768523877
139	0.2768489517
140	0.2768489415
141	0.2768240309
142	0.2767312958
143	0.2767253696
144	0.2767246146
145	0.2767246138
146	0.2767222437
147	0.2767209792
148	0.2767189086
149	0.2767180002
150	0.2766999158
151	0.2766902487
152	0.2766902418
153	0.2766350931
154	0.2766350924
155	0.2766350917
156	0.2766123374
157	0.2766123374
158	0.2764967506
159	0.2764967494
160	0.2764959961
161	0.2764952676
162	0.2764952676
163	0.2751946961
164	0.2750885386
165	0.2750820713
166	0.275078244
167	0.2750762445
168	0.2750604957
169	0.2750567998
170	0.275056754
171	0.2750116288
172	0.2750116282
173	0.2750116276
174	0.2749810187
175	0.2747559975
176	0.2747501683
177	0.2747496467
178	0.2747495336
