iter	Passed	Remaining
0	9	97442
1	20	100408
2	30	102015
3	40	100124
4	51	102777
5	61	101671
6	69	99109
7	76	95975
8	87	96714
9	95	95464
10	104	94730
11	112	93330
12	120	92625
13	132	94346
14	139	92903
15	150	93823
16	159	93926
17	169	94042
18	178	94030
19	187	93417
20	196	93142
21	204	92625
22	215	93413
23	224	93417
24	236	94192
25	247	94865
26	265	98147
27	278	99061
28	294	101230
29	304	101252
30	314	101193
31	323	100739
32	332	100541
33	340	99862
34	349	99496
35	355	98515
36	366	98713
37	376	98641
38	382	97765
39	391	97376
40	398	96813
41	407	96649
42	418	96882
43	428	96931
44	442	97795
45	453	98031
46	465	98635
47	478	99245
48	487	99066
49	499	99326
50	509	99429
51	517	99036
52	526	98733
53	532	98090
54	542	98010
55	551	97856
56	560	97695
57	567	97254
58	576	97081
59	584	96791
60	594	96894
61	605	96988
62	613	96828
63	624	96895
64	634	96977
65	648	97589
66	659	97823
67	671	98144
68	681	98135
69	693	98396
70	701	98066
71	710	97937
72	719	97865
73	726	97515
74	735	97273
75	743	97074
76	749	96566
77	758	96518
78	764	96040
79	773	95890
80	781	95675
81	792	95897
82	802	95881
83	811	95820
84	819	95590
85	828	95506
86	837	95463
87	851	95870
88	860	95879
89	873	96128
90	880	95905
91	890	95949
92	898	95714
93	905	95412
94	911	95024
95	920	94936
96	926	94606
97	936	94629
98	943	94403
99	951	94187
100	958	93966
101	968	94026
102	976	93865
103	988	94040
104	994	93758
105	1002	93591
106	1008	93287
107	1016	93118
108	1024	92963
109	1034	93044
110	1044	93047
111	1058	93442
112	1069	93582
113	1080	93694
114	1091	93805
115	1099	93648
116	1107	93519
117	1115	93382
118	1126	93496
119	1136	93587
120	1144	93429
121	1153	93363
122	1160	93223
123	1170	93202
124	1179	93142
125	1189	93226
126	1200	93328
127	1208	93218
128	1222	93519
129	1237	93928
130	1248	94060
131	1259	94167
132	1269	94201
133	1279	94203
134	1295	94692
135	1311	95090
136	1323	95306
137	1337	95590
138	1349	95716
139	1359	95757
140	1387	96994
141	1400	97216
142	1414	97522
143	1422	97328
144	1430	97237
145	1438	97106
146	1447	96996
147	1460	97191
148	1469	97138
149	1481	97278
150	1491	97253
151	1499	97164
152	1509	97118
153	1518	97063
154	1525	96896
155	1532	96732
156	1540	96609
157	1548	96478
158	1555	96299
159	1562	96110
160	1570	95976
161	1580	95997
162	1588	95869
163	1601	96042
164	1614	96215
165	1630	96595
166	1644	96807
167	1657	96978
168	1670	97191
169	1678	97033
170	1684	96833
171	1692	96698
172	1699	96515
173	1710	96586
174	1722	96680
175	1733	96746
176	1744	96793
177	1754	96820
178	1763	96748
179	1779	97055
180	1792	97232
181	1807	97482
182	1825	97932
183	1838	98102
184	1853	98323
185	1866	98494
186	1894	99435
187	1908	99615
188	1920	99695
189	1931	99712
190	1944	99836
191	1956	99946
192	1967	99962
193	1978	100026
194	1989	100019
195	2001	100096
196	2010	100061
197	2022	100137
198	2032	100103
199	2044	100156
200	2057	100296
201	2072	100546
202	2081	100470
203	2098	100753
204	2110	100858
205	2124	101018
206	2139	101199
207	2146	101053
208	2161	101255
209	2177	101490
210	2190	101616
211	2205	101844
212	2219	101982
213	2228	101897
214	2241	101994
215	2252	102026
216	2269	102327
217	2282	102414
218	2292	102387
219	2306	102532
220	2324	102844
221	2335	102877
222	2344	102775
223	2354	102767
224	2363	102672
225	2374	102691
226	2383	102624
227	2390	102472
228	2401	102465
229	2409	102352
230	2417	102240
231	2426	102143
232	2432	101979
233	2439	101813
234	2450	101837
235	2457	101666
236	2465	101574
237	2474	101481
238	2484	101461
239	2498	101623
240	2513	101780
241	2524	101773
242	2535	101814
243	2544	101754
244	2553	101675
245	2562	101609
246	2573	101610
247	2584	101647
248	2594	101595
249	2602	101479
250	2613	101512
251	2620	101376
252	2630	101349
253	2638	101245
254	2649	101262
255	2657	101166
256	2666	101076
257	2672	100926
258	2690	101174
259	2698	101093
260	2709	101095
261	2721	101153
262	2731	101128
263	2738	100987
264	2746	100887
265	2753	100753
266	2762	100691
267	2773	100715
268	2781	100635
269	2799	100875
270	2808	100829
271	2818	100786
272	2828	100767
273	2839	100796
274	2848	100722
275	2857	100681
276	2866	100611
277	2877	100646
278	2893	100823
279	2903	100781
280	2914	100806
281	2921	100680
282	2932	100677
283	2943	100698
284	2951	100608
285	2961	100578
286	2969	100492
287	2977	100403
288	2986	100346
289	2995	100290
290	3005	100292
291	3013	100193
292	3021	100100
293	3030	100059
294	3041	100059
295	3047	99893
296	3056	99866
297	3062	99716
298	3072	99677
299	3083	99711
300	3092	99653
301	3102	99643
302	3114	99677
303	3125	99689
304	3136	99698
305	3143	99595
306	3154	99601
307	3160	99452
308	3168	99387
309	3176	99285
310	3188	99326
311	3196	99245
312	3202	99120
313	3208	98974
314	3217	98918
315	3224	98817
316	3233	98765
317	3240	98673
318	3252	98716
319	3259	98588
320	3266	98479
321	3273	98390
322	3281	98309
323	3291	98296
324	3304	98360
325	3315	98395
326	3325	98360
327	3335	98369
328	3342	98262
329	3353	98256
330	3360	98174
331	3367	98062
332	3375	97999
333	3383	97909
334	3388	97754
335	3396	97676
336	3403	97596
337	3411	97506
338	3419	97439
339	3430	97471
340	3440	97464
341	3450	97439
342	3457	97339
343	3466	97291
344	3474	97236
345	3484	97223
346	3492	97152
347	3513	97451
348	3527	97534
349	3537	97523
350	3547	97517
351	3557	97508
352	3566	97475
353	3574	97400
354	3582	97339
355	3590	97270
356	3598	97193
357	3608	97184
358	3617	97149
359	3625	97073
360	3631	96972
361	3643	97010
362	3651	96936
363	3661	96916
364	3667	96814
365	3676	96770
366	3690	96861
367	3701	96875
368	3712	96908
369	3729	97064
370	3739	97056
371	3750	97066
372	3759	97037
373	3771	97079
374	3781	97057
375	3798	97231
376	3811	97288
377	3825	97372
378	3841	97521
379	3858	97674
380	3873	97798
381	3885	97821
382	3897	97854
383	3910	97917
384	3924	98006
385	3933	97973
386	3946	98041
387	3957	98046
388	3970	98094
389	3981	98099
390	3993	98145
391	4008	98250
392	4019	98251
393	4030	98259
394	4045	98366
395	4060	98470
396	4076	98596
397	4088	98635
398	4105	98797
399	4121	98912
400	4132	98915
401	4149	99083
402	4164	99164
403	4180	99306
404	4190	99286
405	4205	99380
406	4218	99428
407	4229	99436
408	4238	99382
409	4250	99429
410	4259	99384
411	4268	99342
412	4275	99250
413	4283	99173
414	4289	99064
415	4297	99003
416	4302	98872
417	4321	99054
418	4333	99084
419	4341	99018
420	4356	99125
421	4370	99192
422	4381	99202
423	4390	99163
424	4404	99231
425	4423	99420
426	4434	99418
427	4443	99376
428	4452	99330
